"","power","time","pressure","ratio"
"1",1004,10624,660,2.65884223
"2",1008,10500,720,3.424371829
"3",1013,10475,720,3.182223683
"4",1095,19029,940,2.776420163
"7",1206,19145,920,3.245754845
"8",1211,19279,470,3.228924409
"10",1249,19711,460,3.249050132
"11",1280,17180,980,2.177099828
"12",1285,1922,990,3.132160852
"13",1286,15717,530,2.891256344
"15",1286,18626,930,1.67188718
"16",1287,9365,920,2.486961786
"17",1288,19449,920,2.964636773
"18",1288,19515,920,2.446689168
"19",1293,9319,940,3.307882968
"20",1300,9324,1000,3.370876358
"21",1304,9321,1000,3.582150476
"22",1307,9322,1000,5.159847662
"23",1315,9331,980,3.92767588
"25",1329,9605,990,3.766115716
"26",1333,6623,970,3.45655082
"27",1341,10625,700,3.264845323
"28",1343,9585,980,4.276949681
"29",1355,9322,1000,3.062587782
"30",1403,16863,990,2.68061448
"31",1408,2841,880,3.193382374
"32",1450,15621,510,3.05041702
"33",1457,2629,890,3.080188754
"36",1491,19728,400,2.731740027
"38",1518,17231,890,3.308118401
"39",1521,17553,820,3.490871423
"40",1527,18520,310,1.791615889
"42",1542,18514,310,3.274632664
"43",1546,18375,320,1.818586293
"44",1560,9314,1000,3.230997225
"45",1574,11017,1000,2.932014539
"47",1596,18198,310,2.909999609
"48",1610,1822,730,3.243461912
"49",1665,18552,310,2.289480755
"50",1703,10481,960,3.007009955
"51",1717,10382,970,3.16631637
"52",1720,1831,80,1.682780666
"55",1738,10331,810,3.301696296
"56",1739,10379,990,4.724743249
"57",1740,10379,970,3.700694716
"58",1757,10378,970,5.499063387
"59",1760,11229,970,3.207143574
"61",1776,10375,970,4.08690544
"62",1780,5333,960,2.857800965
"63",1789,1792,500,3.177328601
"64",1805,17740,970,2.912210568
"66",1809,10259,980,4.16942864
"67",1842,18881,830,2.975606279
"70",1875,16877,990,3.051428698
"71",1875,18881,820,4.0168837
"72",1878,7879,840,3.118894583
"74",1888,16925,990,3.638606351
"75",1890,16900,990,3.983891201
"76",1891,10378,970,4.067806774
"77",1894,17003,990,3.017604271
"79",1915,10379,990,3.893852932
"80",1930,2421,800,3.080778976
"82",1956,18873,720,2.901374775
"84",1975,4268,990,3.827582704
"85",1976,1827,70,2.093948947
"86",1984,18880,850,3.855773748
"87",2008,18880,850,4.276358767
"88",2009,4227,1000,3.680987162
"89",2021,18886,840,3.81399825
"90",2023,3171,800,3.439505258
"91",2035,1491,490,3.72323823
"92",2065,18880,900,3.571770687
"94",2069,18445,830,2.985552758
"95",2073,1840,490,2.595710184
"97",2128,18880,820,3.870920293
"98",2131,18800,820,4.051220319
"99",2141,1099,80,3.073853026
"100",2143,18880,810,3.960298908
"101",2145,18880,810,4.349114421
"102",2148,18880,290,1.914237706
"103",2150,18880,810,4.16268586
"104",2153,3502,800,2.96307017
"106",2166,1815,140,3.191922596
"107",2168,1825,490,4.024224557
"108",2170,1822,490,5.203238087
"109",2170,1830,470,3.827207228
"110",2172,1835,380,3.433754797
"111",2222,1747,490,3.453268783
"112",2243,18925,770,3.081672687
"113",2251,18903,770,3.12589218
"114",2274,1983,490,3.215536504
"115",2309,16179,990,2.858442071
"116",2358,1821,240,2.977786277
"117",2394,1822,160,1.62537662
"119",2430,18879,770,2.461660064
"120",2450,19833,770,2.386308297
"121",2451,10379,970,4.599581634
"122",2456,1822,180,2.012994937
"123",2535,1822,80,3.726127597
"124",2637,16266,500,2.373853521
"125",2673,1818,690,3.812412746
"126",2678,4279,920,3.613608221
"127",2687,2822,930,2.982047036
"128",2696,1824,680,3.59011885
"130",2765,514,490,3.01456403
"131",2824,10377,960,2.902882653
"132",2838,18878,880,2.127514126
"133",2905,10380,970,3.444947127
"137",3063,4467,570,2.613552957
"139",3099,18787,910,2.271008185
"141",3156,10357,950,2.691402923
"143",320,2241,850,1.414816905
"144",3214,1823,720,3.310161931
"145",3263,2601,1000,3.067360272
"146",3266,2523,980,2.626501432
"148",3303,3421,860,2.317012514
"149",3314,2120,840,2.779790313
"150",3445,1184,690,3.384759098
"151",3516,813,40,2.128768105
"152",3519,1129,40,2.989507712
"153",3527,1824,40,1.538457125
"155",3613,10766,600,2.093101526
"158",3728,9350,870,2.089539008
"159",3777,9767,900,2.132647453
"161",3805,19668,920,1.959362197
"162",3810,10110,910,3.537409645
"163",3812,10118,970,2.264059348
"164",3830,10217,910,2.996145204
"166",396,9065,460,1.365235057
"167",3993,3615,860,2.662923334
"168",4022,2321,900,3.341319333
"169",4033,3055,880,3.371732725
"170",4046,2524,880,3.334058141
"171",4060,9988,270,1.32755134
"172",4068,10089,910,2.894545384
"173",4079,3055,850,2.338842087
"174",4139,1957,900,3.134584619
"177",4326,3961,250,1.416376543
"178",4431,3854,270,2.190961
"182",4717,1457,640,2.323310757
"185",489,15493,460,1.236779697
"186",4909,1710,960,2.765735333
"187",4962,15074,360,1.323049628
"188",4963,2336,960,3.364084792
"189",5028,2371,960,2.58479023
"190",5041,9305,1000,2.249307903
"194",5309,2566,960,2.705688601
"197",5394,10380,970,2.287450434
"201",698,18907,820,1.978090509
"202",731,10628,710,1.748881858
"203",745,2168,790,2.152875412
"204",783,10474,690,1.989581105
"205",826,1826,480,3.148752413
"206",830,10446,730,2.743036246
"209",952,18662,290,1.815097367
"210",981,18639,290,1.256006035
